ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,periodo,factor_expansion,factor_ajustado
2024,9,1811901,1,30,1,Lima Metropolitana,20240918119011003013,1,3,Hijo/a o hijastro/a,1,2, ,Mujer,13.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,1811901,1,30,1,Lima Metropolitana,20240918119011003014,1,4,Hijo/a o hijastro/a,1,2, ,Hombre,9.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,18134,1,73,1,Lima Metropolitana,202409181341007313,1,3,Hijo/a o hijastro/a,1,2, ,Mujer,12.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,18134,1,73,1,Lima Metropolitana,202409181341007314,1,4,Hijo/a o hijastro/a,1,2, ,Hombre,7.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,18180,1,58,1,Lima Metropolitana,202409181801005814,1,4,Hijo/a o hijastro/a,1,2, ,Mujer,10.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,17614,1,72,1,Lima Metropolitana,202409176141007212,1,2,Hijo/a o hijastro/a,1,2, ,Mujer,13.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,17614,1,72,1,Lima Metropolitana,202409176141007213,1,3,Hijo/a o hijastro/a,1,2, ,Hombre,8.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,17614,1,72,1,Lima Metropolitana,202409176141007214,1,4,Hijo/a o hijastro/a,1,2, ,Hombre,1.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,17614,1,72,1,Lima Metropolitana,202409176141007215,1,5,Hijo/a o hijastro/a,1,2, ,Hombre,1.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,23720,1,37,1,Lima Metropolitana,202409237201003714,1,4,Hijo/a o hijastro/a,1,2, ,Mujer,13.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,23720,1,38,1,Lima Metropolitana,202409237201003812,1,2,Hijo/a o hijastro/a,1,2, ,Hombre,12.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,23720,1,38,1,Lima Metropolitana,202409237201003813,1,3,Hijo/a o hijastro/a,1,2, ,Hombre,9.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,23720,1,45,1,Lima Metropolitana,202409237201004516,1,6,Hijo/a o hijastro/a,1,2, ,Mujer,10.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,27392,1,38,1,Lima Metropolitana,202409273921003815,1,5,Nieto/a,2, ,2,Mujer,1.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,18808,1,44,1,Lima Metropolitana,202409188081004414,1,3,Hijo/a o hijastro/a,1,2, ,Mujer,10.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,18808,1,44,1,Lima Metropolitana,202409188081004415,1,4,Hijo/a o hijastro/a,1,2, ,Hombre,2.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,18808,1,46,1,Lima Metropolitana,202409188081004615,1,5,Hijo/a o hijastro/a,1,2, ,Mujer,7.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,18808,1,141,1,Lima Metropolitana,202409188081014114,1,4,Hijo/a o hijastro/a,1,2, ,Mujer,13.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,18808,1,141,1,Lima Metropolitana,202409188081014115,1,5,Hijo/a o hijastro/a,1,2, ,Mujer,4.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,2113001,1,6,1,Lima Metropolitana,20240921130011000614,1,4,Nieto/a,1,2, ,Mujer,11.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,2113001,1,6,1,Lima Metropolitana,20240921130011000615,1,5,Nieto/a,1,2, ,Mujer,6.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,24443,1,88,1,Lima Metropolitana,202409244431008814,1,4,Hijo/a o hijastro/a,1,2, ,Mujer,10.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,24443,1,88,1,Lima Metropolitana,202409244431008815,1,5,Hijo/a o hijastro/a,1,2, ,Mujer,2.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,47703,1,136,1,Lima Metropolitana,202409477031013614,1,4,Hijo/a o hijastro/a,1,2, ,Mujer,11.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,47703,1,139,1,Lima Metropolitana,202409477031013912,1,2,Hijo/a o hijastro/a,1,2, ,Mujer,9.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,21336,1,72,1,Lima Metropolitana,202409213361007213,1,3,Hijo/a o hijastro/a,1,2, ,Hombre,13.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,29441,1,71,1,Lima Metropolitana,202409294411007113,1,3,Hijo/a o hijastro/a,1,2, ,Hombre,2.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,29441,1,72,1,Lima Metropolitana,202409294411007213,1,3,Hijo/a o hijastro/a,1,2, ,Hombre,2.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,29441,1,74,1,Lima Metropolitana,202409294411007412,1,2,Hijo/a o hijastro/a,1,2, ,Mujer,2.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,20382,1,129,1,Lima Metropolitana,202409203821012914,1,4,Hijo/a o hijastro/a,1,2, ,Hombre,5.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,20382,1,130,1,Lima Metropolitana,202409203821013013,1,3,Nieto/a,1,2, ,Hombre,3.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,2659001,1,54,1,Lima Metropolitana,20240926590011005413,1,3,Hijo/a o hijastro/a,1,2, ,Mujer,9.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,2659001,1,55,1,Lima Metropolitana,20240926590011005513,1,3,Hijo/a o hijastro/a,1,2, ,Hombre,13.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,2633401,1,38,1,Lima Metropolitana,20240926334011003814,1,4,Hijo/a o hijastro/a,1,2, ,Mujer,11.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,4744203,1,28,1,Lima Metropolitana,20240947442031002813,1,3,Hijo/a o hijastro/a,1,2, ,Hombre,12.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,4744203,1,28,1,Lima Metropolitana,20240947442031002814,1,4,Hijo/a o hijastro/a,1,2, ,Mujer,7.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,4744203,1,29,1,Lima Metropolitana,20240947442031002913,1,3,Hijo/a o hijastro/a,1,2, ,Hombre,4.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,4744203,1,30,1,Lima Metropolitana,20240947442031003013,1,2,Hijo/a o hijastro/a,1,2, ,Hombre,12.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,9,4744203,1,30,1,Lima Metropolitana,20240947442031003014,1,3,Hijo/a o hijastro/a,1,2, ,Mujer,4.0, ,,,, , , , , , , , , , , , , , , ,2024-Q4,0.0,0.0
2024,1,24160,1,22,1,Lima Metropolitana,202401241601002213,1,3,Hijo/a o hijastro/a,1,2, ,Hombre,13.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,21682,1,3,1,Lima Metropolitana,202310216821000314,1,4,Nieto/a,1,2, ,Hombre,8.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,23046,1,14,1,Lima Metropolitana,202301230461001413,1,3,Hijo/a o hijastro/a,1,2, ,Mujer,13.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,23046,1,14,1,Lima Metropolitana,202301230461001414,1,4,Hijo/a o hijastro/a,1,2, ,Hombre,8.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,23046,1,14,1,Lima Metropolitana,202301230461001415,1,5,Hijo/a o hijastro/a,1,2, ,Mujer,1.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,21937,1,39,1,Lima Metropolitana,202401219371003915,1,5,Hijo/a o hijastro/a,1,2, ,Hombre,9.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,49936,1,16,1,Lima Metropolitana,202401499361001613,1,3,Hijo/a o hijastro/a,1,2, ,Mujer,13.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,49936,1,16,1,Lima Metropolitana,202401499361001614,1,4,Hijo/a o hijastro/a,1,2, ,Hombre,12.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,49936,1,16,1,Lima Metropolitana,202401499361001615,1,5,Hijo/a o hijastro/a,1,2, ,Hombre,5.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,20390,1,21,1,Lima Metropolitana,202401203901002112,1,2,Hijo/a o hijastro/a,1,2, ,Hombre,5.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,24013,1,45,1,Lima Metropolitana,202210240131004513,1,3,Hijo/a o hijastro/a,1,2, ,Mujer,8.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,19959,1,40,1,Lima Metropolitana,202301199591004013,1,3,Hijo/a o hijastro/a,1,2, ,Hombre,9.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,25963,1,113,1,Lima Metropolitana,202401259631011312,1,2,Hijo/a o hijastro/a,1,2, ,Hombre,12.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,21632,1,133,1,Lima Metropolitana,202310216321013314,1,4,Nieto/a,1,2, ,Hombre,5.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,17285,1,87,1,Lima Metropolitana,202310172851008714,1,3,Hijo/a o hijastro/a,1,2, ,Mujer,4.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,17692,1,6,1,Lima Metropolitana,202401176921000613,1,3,Hijo/a o hijastro/a,1,2, ,Mujer,11.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,17692,1,6,1,Lima Metropolitana,202401176921000614,1,4,Hijo/a o hijastro/a,1,2, ,Hombre,4.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,17692,1,6,1,Lima Metropolitana,202401176921000615,1,5,Hijo/a o hijastro/a,1,2, ,Mujer,3.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,47176,1,20,1,Lima Metropolitana,202401471761002013,1,3,Hijo/a o hijastro/a,1,2, ,Hombre,9.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,47176,1,20,1,Lima Metropolitana,202401471761002014,1,4,Hijo/a o hijastro/a,1,2, ,Mujer,5.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,25937,1,64,1,Lima Metropolitana,202310259371006413,1,3,Hijo/a o hijastro/a,1,2, ,Mujer,11.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,25937,1,64,1,Lima Metropolitana,202310259371006414,1,4,Hijo/a o hijastro/a,1,2, ,Hombre,4.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,29315,1,13,1,Lima Metropolitana,202310293151001314,1,4,Hijo/a o hijastro/a,1,2, ,Mujer,7.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,29315,1,13,1,Lima Metropolitana,202310293151001315,1,5,Hijo/a o hijastro/a,1,2, ,Mujer,6.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,49936,1,13,1,Lima Metropolitana,202401499361001314,1,4,Nieto/a,1,2, ,Mujer,3.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,17515,1,2,1,Lima Metropolitana,202401175151000214,1,4,Hijo/a o hijastro/a,1,2, ,Hombre,10.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,17648,1,95,1,Lima Metropolitana,202210176481009515,1,4,Hijo/a o hijastro/a,1,2, ,Mujer,7.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,29129,1,34,1,Lima Metropolitana,202401291291003413,1,2,Hijo/a o hijastro/a,1,2, ,Hombre,8.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,23924,1,58,1,Lima Metropolitana,202210239241005817,1,8,Nieto/a,1,2, ,Mujer,9.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,23924,1,58,1,Lima Metropolitana,202210239241005819,1,10,Nieto/a,1,2, ,Hombre,11.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,21063,1,100,1,Lima Metropolitana,202301210631010014,1,4,Hijo/a o hijastro/a,1,2, ,Hombre,11.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,21063,1,100,1,Lima Metropolitana,202301210631010015,1,5,Hijo/a o hijastro/a,1,2, ,Hombre,7.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,19826,1,50,1,Lima Metropolitana,202301198261005013,1,3,Hijo/a o hijastro/a,1,2, ,Hombre,10.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,19826,1,50,1,Lima Metropolitana,202301198261005014,1,4,Hijo/a o hijastro/a,1,2, ,Hombre,6.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,21009,1,46,1,Lima Metropolitana,202210210091004613,1,3,Hijo/a o hijastro/a,1,2, ,Mujer,3.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,1,25706,1,47,1,Lima Metropolitana,202210257061004713,1,3,Nieto/a,1,2, ,Hombre,4.0, ,,,, , , , , , , , , , , , , , , ,2024-Q1,0.0,0.0
2024,4,1797501,1,50,1,Lima Metropolitana,20240417975011005014,1,4,Hijo/a o hijastro/a,1,2, ,Hombre,13.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,18495,1,86,1,Lima Metropolitana,202404184951008613,1,3,Hijo/a o hijastro/a,1,2, ,Mujer,3.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,18495,1,197,1,Lima Metropolitana,202404184951019714,1,4,Hijo/a o hijastro/a,1,2, ,Hombre,13.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,18495,1,200,1,Lima Metropolitana,202404184951020013,1,3,Nieto/a,1,2, ,Mujer,5.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,17262,1,35,1,Lima Metropolitana,202404172621003515,1,5,Hijo/a o hijastro/a,1,2, ,Hombre,10.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,17262,1,38,1,Lima Metropolitana,202404172621003813,1,3,Nieto/a,1,2, ,Hombre,4.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,17262,1,38,1,Lima Metropolitana,202404172621003814,1,4,Nieto/a,1,2, ,Mujer,1.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,18753,1,8,1,Lima Metropolitana,202404187531000815,1,5,Hijo/a o hijastro/a,1,2, ,Hombre,12.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,18753,1,8,1,Lima Metropolitana,202404187531000816,1,6,Hijo/a o hijastro/a,1,2, ,Mujer,10.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,21270,1,86,1,Lima Metropolitana,202404212701008617,1,4,Nieto/a,1,2, ,Hombre,5.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,20288,1,94,1,Lima Metropolitana,202404202881009413,1,3,Nieto/a,1,2, ,Mujer,9.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,2963902,1,38,1,Lima Metropolitana,20240429639021003814,1,4,Hijo/a o hijastro/a,1,2, ,Mujer,9.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,2963902,1,38,1,Lima Metropolitana,20240429639021003815,1,5,Hijo/a o hijastro/a,1,2, ,Hombre,6.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,2963902,1,38,1,Lima Metropolitana,20240429639021003816,1,6,Hijo/a o hijastro/a,1,2, ,Hombre,4.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,2963902,1,38,1,Lima Metropolitana,20240429639021003817,1,7,Hijo/a o hijastro/a,1,2, ,Mujer,1.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,2186201,1,33,1,Lima Metropolitana,20240421862011003316,1,6,Nieto/a,1,2, ,Mujer,2.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,2186201,1,34,1,Lima Metropolitana,20240421862011003413,1,3,Hijo/a o hijastro/a,1,2, ,Hombre,6.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,2186201,1,35,1,Lima Metropolitana,20240421862011003516,1,6,Hijo/a o hijastro/a,1,2, ,Hombre,1.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,2186201,1,36,1,Lima Metropolitana,20240421862011003615,1,5,Hijo/a o hijastro/a,1,2, ,Mujer,9.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,2186201,1,36,1,Lima Metropolitana,20240421862011003616,1,6,Hijo/a o hijastro/a,1,2, ,Mujer,2.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,21921,1,125,1,Lima Metropolitana,202404219211012513,1,3,Hijo/a o hijastro/a,1,2, ,Hombre,9.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,21921,1,125,1,Lima Metropolitana,202404219211012514,1,4,Hijo/a o hijastro/a,1,2, ,Mujer,2.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,21921,1,127,1,Lima Metropolitana,202404219211012713,1,4,Hijo/a o hijastro/a,1,2, ,Hombre,11.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,21921,1,127,1,Lima Metropolitana,202404219211012714,1,5,Hijo/a o hijastro/a,1,2, ,Mujer,1.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,21921,1,188,1,Lima Metropolitana,202404219211018816,1,6,Nieto/a,1,2, ,Hombre,13.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,21921,1,188,1,Lima Metropolitana,202404219211018817,1,7,Nieto/a,1,2, ,Hombre,5.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,22045,1,69,1,Lima Metropolitana,202404220451006915,1,5,Hijo/a o hijastro/a,1,2, ,Mujer,11.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,22136,1,66,2,Lima Metropolitana,202404221361006623,1,3,Hijo/a o hijastro/a,1,2, ,Mujer,10.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,22136,1,66,2,Lima Metropolitana,202404221361006624,1,4,Hijo/a o hijastro/a,1,2, ,Hombre,6.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,22136,1,165,1,Lima Metropolitana,202404221361016513,1,3,Hijo/a o hijastro/a,1,2, ,Mujer,9.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,22136,1,165,1,Lima Metropolitana,202404221361016514,1,4,Hijo/a o hijastro/a,1,2, ,Hombre,4.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,25396,1,141,1,Lima Metropolitana,202404253961014113,1,3,Hijo/a o hijastro/a,1,2, ,Mujer,11.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,25396,1,141,1,Lima Metropolitana,202404253961014114,1,4,Hijo/a o hijastro/a,1,2, ,Mujer,7.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
2024,4,25396,1,141,1,Lima Metropolitana,202404253961014115,1,5,Hijo/a o hijastro/a,1,2, ,Mujer,2.0, ,,,, , , , , , , , , , , , , , , ,2024-Q2,0.0,0.0
